id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16688,"Beautiful condo in downtown Pearl, NW Portland",64840,Ashish,,Pearl,45.52542,-122.68557,Entire home/apt,275,2,78,2019-12-09,2.39,1,362
29931,Lovely SW Victorian w/Bonus Room and Hot Tub,79786,Ken,,Hayhurst,45.48278,-122.72089,Entire home/apt,200,2,53,2019-08-31,0.46,3,306
37676,Mt. Hood View in the Pearl District,162158,Paul,,Pearl,45.52555,-122.68193,Entire home/apt,125,30,123,2019-10-11,1.07,2,335
39938,Friendly Guesthouse / 10 Min to Airport & Downtown,171371,Sarah,,Woodlawn,45.57428,-122.64594,Private room,29,30,274,2019-11-18,4.68,3,0
41601,Grandpa's Bunkhouse-Backyard Studio,179045,Jean,,Roseway,45.54935,-122.58425,Entire home/apt,130,3,219,2019-10-14,1.91,2,365
42347,Portland is Accessible!,184886,Sharon,,Laurelhurst,45.52211,-122.63147,Private room,55,2,198,2019-09-29,1.74,1,116
45890,Auntie's Hideaway--Daylight Downstairs Studio,179045,Jean,,Roseway,45.54889,-122.58554,Entire home/apt,79,3,184,2019-10-14,1.77,2,365
53939,Central East Side: comfy suite,206917,Sue,,Kerns,45.52817,-122.63582,Private room,61,3,84,2019-11-24,1.20,2,362
53940,"Central E. Side: light, airy haven",206917,Sue,,Kerns,45.52532,-122.63272,Private room,78,3,50,2019-09-13,0.88,2,362
59425,Beautiful Alberta Arts Basement Apt,285416,Pauly & Myra,,Vernon,45.56181,-122.65097,Entire home/apt,95,2,11,2012-11-16,0.10,1,214
61677,Large Peaceful Double Room w Charm: upstairs Reed.,298438,Deborah,,Reed,45.48845,-122.62633,Private room,40,3,115,2019-10-05,1.07,1,139
61893,"NW, Pearl, Downtown, and Parks—Walk to Everything",300391,Matt,,Goose Hollow,45.52208,-122.69979,Entire home/apt,180,30,8,2019-11-12,0.21,1,317
64557,Sunny SW Artist Studio w/ Hot Tub,79786,Ken,,Hayhurst,45.48294,-122.71922,Entire home/apt,90,31,49,2019-11-06,0.45,3,142
65466,Mt. Tabor Bungalow,170035,Scott,,Mt. Tabor,45.50661,-122.60892,Private room,60,2,157,2019-10-20,2.02,1,346
66944,"Hip, Lively Neighborhood, Spacious Apt.",329173,Kevin,,Boise,45.55078,-122.67492,Entire home/apt,175,2,253,2019-12-15,2.35,1,346
67036,Historic Home Located in Central City,329777,Will,,Sullivan's Gulch,45.53195,-122.64483,Entire home/apt,425,4,30,2019-10-06,0.28,1,199
77522,"Charming Eastmoreland Suite, Pets Okay,  Hot Tub",345461,Diane,,Eastmoreland,45.46992,-122.63218,Private room,55,2,81,2020-01-01,0.84,1,274
78509,Powell Butte-City Views- Maple Room,421792,Jesse,,Powellhurst-Gilbert,45.48608,-122.52273,Private room,60,30,53,2019-12-01,0.50,3,97
80357,"Private, Alley House,  Close-in",415758,Esther,,Sullivan's Gulch,45.53223,-122.63978,Entire home/apt,85,30,1,2011-06-01,0.01,1,309
85860,Corner Caravan,104038,Garden,,Humboldt,45.55509,-122.67486,Entire home/apt,125,7,7,2019-10-01,0.08,2,365
