id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365
16688,"Beautiful condo in downtown Pearl, NW Portland",64840,Pearl,45.525420000000004,-122.68557,Entire home/apt,275,2,78,362
37676,Mt. Hood View in the Pearl District,162158,Pearl,45.52555,-122.68193000000001,Entire home/apt,125,30,123,335
61893,"NW, Pearl, Downtown, and Parks—Walk to Everything",300391,Goose Hollow,45.522079999999995,-122.69979,Entire home/apt,180,30,8,317
217607,One Bedroom Artists Loft - Close to EvErYtHiNg,971012,Old Town/Chinatown,45.527120000000004,-122.67563999999999,Entire home/apt,160,20,48,318
674866,Fantastic Loft in the Pearl (short or long term),1731137,Pearl,45.526140000000005,-122.68224,Entire home/apt,175,30,9,335
921597,Pearl District Loft: Urban Oasis,4955336,Pearl,45.53085,-122.68462,Entire home/apt,99,30,12,176
1011906,"Shaman Perch
Best View In Portland",5566717,Goose Hollow,45.51526,-122.69344,Entire home/apt,95,3,156,272
1092552,Goose Hollow Studio,6002476,Goose Hollow,45.51892,-122.69391,Entire home/apt,135,2,452,262
1209612,"WATERFRONT, NW  DISTRICT CONDO",6510017,Old Town/Chinatown,45.52667,-122.67218999999999,Entire home/apt,1500,30,64,365
1297869,5th Ave Townhouse,7055900,Portland Downtown,45.50947,-122.68195,Entire home/apt,350,2,346,304
1399503,Gorgeous Pearl Loft,2209026,Pearl,45.53049,-122.68491000000002,Entire home/apt,161,186,69,365
1519381,Downtown living,8109719,Portland Downtown,45.50932,-122.67748,Entire home/apt,90,30,2,307
1539452,"""The Hermitage"", Historic Hafner Haus 2nd unit",8207605,Portland Downtown,45.51607,-122.6862,Entire home/apt,99,4,103,255
1560267,Pearl District Private Suite,2655510,Pearl,45.52792,-122.68246,Private room,125,2,452,290
1717606,Beautiful & Clean Condo in Pearl of Portland!,9055739,Pearl,45.53099,-122.6821,Entire home/apt,99,4,11,0
1737074,Rose City Restoration,9148096,Portland Downtown,45.52085,-122.6799,Entire home/apt,132,3,146,82
1856414,Comfortable Hip Downtown Loft,5907304,Portland Downtown,45.516290000000005,-122.68693,Entire home/apt,75,30,73,196
1931712,Deluxe Portland Downtown Condo,4084327,Portland Downtown,45.50956,-122.68021999999999,Entire home/apt,107,30,26,251
2038802,"2 story, 2 bath Downtown Condo w/Parking Pass",2687437,Portland Downtown,45.514759999999995,-122.68633999999999,Entire home/apt,99,30,159,228
2243045,Waterfront Panoramic 2b/2b Portland 30 day min,11456606,Old Town/Chinatown,45.52751,-122.67225,Entire home/apt,99,30,14,343
2332736,"Historic Hafner Haus, Downtown PDX
+Meeting Space",8207605,Portland Downtown,45.51621,-122.68816000000001,Entire home/apt,149,5,156,290
2418370,Lux Mountain/River View 2Br2BaCondo,2412446,Portland Downtown,45.50983,-122.67946,Entire home/apt,100,31,1,333
2429195,Portland Pearl District 1BR Apt: Walk Everywhere!,34691,Pearl,45.52662,-122.67863999999999,Entire home/apt,84,30,18,0
2460265,Modern condo in heart of Downtown,12579841,Portland Downtown,45.51593,-122.68703000000001,Entire home/apt,75,31,5,365
2537805,"1,600 Sq ft Pearl District Loft !",12994901,Pearl,45.52722,-122.6777,Entire home/apt,250,7,11,363
2985663,Modern 1-bdrm downtown PDX-Long term rental,3893123,Goose Hollow,45.52017,-122.68731000000001,Entire home/apt,124,3,28,271
3627515,The Downtowner,7379278,Portland Downtown,45.50935,-122.68206,Entire home/apt,350,2,304,279
3821515,"Super-Central, Air-Conditioned, Chinatown B&B!",18011110,Old Town/Chinatown,45.52381,-122.6737,Entire home/apt,99,1,402,302
3898931,Portland Pearl Extended Stay,4701601,Pearl,45.53324,-122.68005,Entire home/apt,185,60,18,2
4536608,"Historic Hafner Haus, British Style Bed+Breakfast",8207605,Portland Downtown,45.51678,-122.68783,Private room,45,28,25,343
4624844,British style Bed & Breakfast-Historic Hafner Haus,8207605,Portland Downtown,45.51445,-122.68798000000001,Private room,45,4,37,337
4811674,Stay in Historic Portland Church Parsonage,8207605,Portland Downtown,45.5151,-122.68652,Entire home/apt,58,4,9,334
5434216,Downtown Condo with a Great View,28190369,Portland Downtown,45.51158,-122.68027,Entire home/apt,100,30,17,302
5536388,"Pearl District Condo | Quiet, clean, contemporary",22576469,Pearl,45.5337,-122.68021,Entire home/apt,117,30,8,246
5761531,Amazing view in the heart of downtown,29890559,Pearl,45.52575,-122.67983999999998,Entire home/apt,98,30,4,363
5762158,"Cozy Nest in the Heart of Portland, 31 day minimum",26905222,Goose Hollow,45.52065,-122.68783,Entire home/apt,120,30,7,177
6376373,Waterfront Pearl District Condo!,5744484,Old Town/Chinatown,45.5276,-122.67334,Entire home/apt,150,30,0,313
6410081,"Gorgeous, spacious downtown condo",2393160,Goose Hollow,45.52159,-122.69663,Entire home/apt,320,2,243,337
6836255,Portland Getaway,35819516,Portland Downtown,45.517309999999995,-122.68542,Entire home/apt,149,30,138,365
7049638,Quiet and Spacious Downtown Condo,2305141,Goose Hollow,45.52227,-122.69541000000001,Entire home/apt,285,30,27,352
8035910,LONG TERM LUXURY IN THE PEARL,42431331,Pearl,45.52619,-122.68042,Entire home/apt,90,30,6,322
8035987,Lark About Downtown from Here!,42139754,Portland Downtown,45.51639,-122.68511000000001,Entire home/apt,250,30,54,364
8080471,"Beautiful, large downtown condo",2393160,Goose Hollow,45.52185,-122.69563000000001,Entire home/apt,185,30,80,365
8443658,Waterfront Pearl District Condo,1184882,Old Town/Chinatown,45.52732,-122.67137,Entire home/apt,110,30,17,346
9276925,Lovely FURNISHED riverfront condo,31927943,Pearl,45.53389,-122.67998,Entire home/apt,165,90,1,363
9370114,Downtown Waterfront Condo,48616768,Old Town/Chinatown,45.529709999999994,-122.6733,Private room,99,1,271,157
10537501,Industrial Pearl District Loft with FREE PARKING,52034458,Pearl,45.53048,-122.68643999999999,Entire home/apt,179,30,13,0
11260439,Luxury In The Pearl,58773859,Pearl,45.5304,-122.68246,Entire home/apt,166,30,3,365
11438533,Delightful Downtown Large Studio,5790741,Goose Hollow,45.520720000000004,-122.68972,Entire home/apt,47,30,5,114
11491022,Riverfront Condo Downtown Portland,60500778,Old Town/Chinatown,45.528620000000004,-122.67183999999999,Entire home/apt,73,31,5,335
11507173,Beautiful Studio/ Great Location!,60624037,Lloyd District,45.53448,-122.65683,Entire home/apt,109,3,69,119
11944316,City at your feet in Goose Hollow,2995729,Goose Hollow,45.51977,-122.69378,Entire home/apt,130,3,142,105
12072242,Awesome Loft in the Heart of PDX,64689549,Portland Downtown,45.511540000000004,-122.68494,Entire home/apt,169,30,34,245
12608430,Angel's Rest Suite 2BR Big spaces  2 Roku TVs,67810155,Lloyd District,45.53431,-122.65763999999999,Entire home/apt,153,1,193,331
12760040,Cooper Spur Suite - Large Urban 2br great location,67810155,Lloyd District,45.53365,-122.65651000000001,Entire home/apt,153,1,144,315
12760406,"Painted Hills Suite - Big 2BR, Every Amenity + A/C",67810155,Lloyd District,45.53447,-122.65664,Entire home/apt,176,1,141,344
12854038,Spacious Portland Loft,5907304,Portland Downtown,45.51582,-122.68638,Entire home/apt,80,30,6,227
