id,name,host_id,host_name,neighborhood,latitude,longitude,room_type,price,number_of_reviews,calculated_host_listings_count
16688,"Beautiful condo in downtown Pearl, NW Portland",64840,Ashish,Pearl,45.525420000000004,-122.68557,Entire home/apt,275,78,1
29931,Lovely SW Victorian w/Bonus Room and Hot Tub,79786,Ken,Hayhurst,45.48278,-122.72089,Entire home/apt,200,53,3
37676,Mt. Hood View in the Pearl District,162158,Paul,Pearl,45.52555,-122.68193000000001,Entire home/apt,125,123,2
39938,Friendly Guesthouse / 10 Min to Airport & Downtown,171371,Sarah,Woodlawn,45.57428,-122.64594,Private room,29,274,3
41601,Grandpa's Bunkhouse-Backyard Studio,179045,Jean,Roseway,45.54935,-122.58425,Entire home/apt,130,219,2
42347,Portland is Accessible!,184886,Sharon,Laurelhurst,45.52211,-122.63147,Private room,55,198,1
45890,Auntie's Hideaway--Daylight Downstairs Studio,179045,Jean,Roseway,45.54889,-122.58554,Entire home/apt,79,184,2
53939,Central East Side: comfy suite,206917,Sue,Kerns,45.52817,-122.63582,Private room,61,84,2
53940,"Central E. Side: light, airy haven",206917,Sue,Kerns,45.52532,-122.63271999999999,Private room,78,50,2
59425,Beautiful Alberta Arts Basement Apt,285416,Pauly & Myra,Vernon,45.561809999999994,-122.65097,Entire home/apt,95,11,1
61677,Large Peaceful Double Room w Charm: upstairs Reed.,298438,Deborah,Reed,45.48845,-122.62633000000001,Private room,40,115,1
61893,"NW, Pearl, Downtown, and Parks—Walk to Everything",300391,Matt,Goose Hollow,45.522079999999995,-122.69979,Entire home/apt,180,8,1
64557,Sunny SW Artist Studio w/ Hot Tub,79786,Ken,Hayhurst,45.48294,-122.71921999999999,Entire home/apt,90,49,3
65466,Mt. Tabor Bungalow,170035,Scott,Mt. Tabor,45.506609999999995,-122.60892,Private room,60,157,1
66944,"Hip, Lively Neighborhood, Spacious Apt.",329173,Kevin,Boise,45.550779999999996,-122.67492,Entire home/apt,175,253,1
67036,Historic Home Located in Central City,329777,Will,Sullivan's Gulch,45.53195,-122.64483,Entire home/apt,425,30,1
77522,"Charming Eastmoreland Suite, Pets Okay,  Hot Tub",345461,Diane,Eastmoreland,45.46992,-122.63218,Private room,55,81,1
78509,Powell Butte-City Views- Maple Room,421792,Jesse,Powellhurst-Gilbert,45.48608,-122.52273000000001,Private room,60,53,3
80357,"Private, Alley House,  Close-in",415758,Esther,Sullivan's Gulch,45.53223,-122.63978,Entire home/apt,85,1,1
85860,Corner Caravan,104038,Garden,Humboldt,45.55509,-122.67486000000001,Entire home/apt,125,7,2
