id,name,host_id,host_name,neighborhood,latitude,longitude,room_type,price,number_of_reviews,calculated_host_listings_count,availability_365
4209765,Oregon  Convention Center,1770933,Anastasia,Sullivan's Gulch,45.53333303138803,-122.64248066028328,Private room,52,98,2,364
3635579,Spacious Room & Private Bath,274455,Eugenia,Sullivan's Gulch,45.53277483588533,-122.648434021905,Private room,85,137,1,338
6019539,Private Suites near it all- Room #7,3029738,Phil,Sullivan's Gulch,45.53191898030711,-122.64842754117805,Private room,110,58,7,310
13031007,Best Neighborhood--3 Bed Apartment,636668,Sara Osheroff,Sullivan's Gulch,45.53408749053485,-122.63662592785549,Entire home/apt,95,25,1,349
6106997,"LOCATION NE! ""Mt Hood"" : King bed",17261537,Ian & Sharmil,Sullivan's Gulch,45.53449121732471,-122.64688297158196,Private room,65,121,7,325
4918034,Private suites near it all- Room #2,3029738,Phil,Sullivan's Gulch,45.533279758803026,-122.64786231653144,Private room,100,106,7,315
3835937,Close to downtown Portland ,19756066,Randal,Sullivan's Gulch,45.53509971510614,-122.63842295787813,Private room,77,153,1,352
7547444,Near Oregon Convention Center,1770933,Anastasia,Sullivan's Gulch,45.53223563971762,-122.64542490867336,Private room,47,108,2,344
6122610,"LOCATION NE! : ""Mt Adams"" King bed",17261537,Ian & Sharmil,Sullivan's Gulch,45.5345507451,-122.64799699039284,Private room,75,100,7,358
5133946,Private suites near it all- Room #3,3029738,Phil,Sullivan's Gulch,45.53386633734002,-122.64775700369785,Private room,100,117,7,326
2910295,Sullivan's Gulch New 1 BR apartment,14867883,Ann,Sullivan's Gulch,45.53383491149948,-122.64759150177059,Entire home/apt,95,101,1,347
13962174,Quiet room near Convention Center/Downtown PDX,470854,Lydia,Sullivan's Gulch,45.533451500347674,-122.63833069786257,Private room,60,3,2,0
3678338,Portland's best kept secret...,1795731,Matt,Sullivan's Gulch,45.532733569196004,-122.63972491079329,Entire home/apt,59,96,1,226
16425292,Deck the Halls...Stay with us for the Holidays!,67198366,Paragon Corporate Housing,Sullivan's Gulch,45.534554057570865,-122.64956758004988,Entire home/apt,78,0,3,1
11459090,Lloyd / Convention Center Modern Charmer,470854,Lydia,Sullivan's Gulch,45.53118342392331,-122.63679555169615,Entire home/apt,175,4,2,0
16609197,Portland great view,22800605,Todd,Sullivan's Gulch,45.53415415254424,-122.64979431308457,Entire home/apt,136,0,1,180
5413214,Greeley Manor - 2 bedrooms,13611696,John,Arbor Lodge,45.57488099433679,-122.69473260523964,Private room,118,3,3,365
